Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
sandy,6.817,daily,none,26.3,61.1,0
loam,4.308872507499936,bi-weekly,organic,23.25235353822853,61.00662989007684,1
clay,9.034,weekly,none,31.7,61.0,0
loam,8.848722277386502,bi-weekly,organic,15.530226210832437,30.567682238370956,1
loam,7.134,bi-weekly,none,31.0,52.6,0
clay,5.332646862824381,bi-weekly,chemical,16.42377296920458,56.385055454314994,1
loam,4.546,daily,chemical,29.1,71.2,1
loam,8.442,bi-weekly,none,19.3,54.1,1
clay,7.512,bi-weekly,chemical,19.0,61.2,1
loam,6.832,daily,none,31.7,47.8,0
sandy,4.461879458972758,bi-weekly,chemical,28.173872632378902,51.21110046234881,0
clay,5.709042966264805,daily,none,18.548790875594456,44.04815947961151,1
clay,9.830692496325764,weekly,organic,27.57885693559768,52.72705323838866,0
sandy,7.321,daily,chemical,20.3,47.3,1
sandy,8.065386171053694,daily,chemical,26.46875776246572,73.30319447502042,0
loam,9.164383499538062,daily,none,17.01556002754853,30.60772373449082,1
clay,5.951099932160482,weekly,none,23.3920012485558,47.54575062760394,1
clay,7.051424146988216,daily,none,27.701873017352877,79.30005319114355,0
loam,7.0,daily,organic,30.0,50.0,0
sandy,4.8693692325473386,daily,chemical,33.61514651207129,47.66761140130264,1
loam,9.57818591405544,weekly,organic,27.84838556412631,54.63125521454296,1
clay,8.218113753371068,weekly,chemical,17.363296552433127,61.46993190676312,1
clay,7.856,weekly,none,26.2,48.1,1
loam,4.776,weekly,none,24.8,70.7,0
sandy,4.671,daily,none,18.4,61.5,0
loam,5.510693774952185,weekly,chemical,29.70142087607772,59.21571559615501,0
clay,6.462297538213779,bi-weekly,organic,27.517198314284727,34.17503583493344,1
loam,5.334,daily,organic,17.6,57.7,0
loam,5.922,bi-weekly,none,26.8,70.6,0
clay,7.392,bi-weekly,none,31.1,68.6,0
clay,6.456,weekly,none,24.9,70.8,0
loam,6.348,weekly,none,22.6,63.1,0
sandy,8.239,daily,organic,30.7,68.3,1
sandy,9.355353990939866,daily,organic,27.865764368847064,62.460515105803175,1
sandy,9.913902724663604,daily,none,23.57988054750037,33.88673184824924,1
sandy,4.753,daily,chemical,18.7,47.4,1
clay,7.818462467582682,bi-weekly,organic,22.97009468794747,70.63997836287513,0
clay,4.221321684127197,bi-weekly,organic,30.012295032817168,77.52057420382793,1
clay,8.512,bi-weekly,chemical,21.4,69.3,1
loam,4.444267910404542,daily,organic,25.984533294122407,69.57895218629243,1
sandy,4.719192204002097,bi-weekly,none,21.379512605875227,79.64823980596502,0
sandy,7.019,daily,organic,22.5,55.4,1
clay,6.217,daily,organic,28.9,56.7,1
clay,8.443,daily,none,27.6,49.3,1
clay,8.03281328443527,daily,organic,30.090857481693646,79.31053722398013,0
sandy,5.908020849831184,weekly,none,22.722052756015486,48.7435289761852,1
clay,7.016074139373169,bi-weekly,organic,34.81010284001347,52.782837639285646,0
clay,9.128,weekly,organic,15.7,40.6,0
clay,5.932,weekly,chemical,17.8,46.2,0
sandy,5.652,daily,none,28.0,70.2,0
loam,4.188575114120406,bi-weekly,organic,23.67703298475946,48.53210735334454,1
clay,9.872,bi-weekly,chemical,17.1,49.7,0
clay,8.625803079727365,daily,chemical,29.073157187600472,71.09300296451781,1
loam,5.813,bi-weekly,none,26.0,60.2,0
loam,5.88613588645796,daily,organic,27.31700196104433,77.36242886919294,0
loam,7.456,bi-weekly,none,24.6,55.9,1
sandy,5.489,daily,chemical,18.1,69.4,1
loam,5.437371344001835,weekly,organic,21.81607080506036,53.18492024699911,1
clay,6.134,daily,none,27.4,70.3,1
clay,8.991,bi-weekly,organic,27.9,57.2,1
clay,7.236053451493904,weekly,chemical,24.165057809830333,67.30224396327117,0
clay,6.341,weekly,organic,30.9,69.1,1
clay,6.983491035354312,weekly,none,31.06961860769697,75.05790052454944,1
clay,7.528,weekly,chemical,30.5,60.1,1
loam,5.477,daily,organic,22.8,71.5,1
loam,7.064483815465394,weekly,none,16.88885921511857,32.1579955975288,0
clay,9.32327645545796,weekly,none,30.15692220928738,68.07553158587362,0
sandy,8.318,weekly,none,20.1,62.5,0
clay,9.449595315799922,daily,chemical,30.52825921483993,39.40605798618807,1
clay,6.127,daily,none,25.7,70.9,1
loam,7.7397887609653475,daily,none,34.097305613263885,32.877938000832216,0
loam,5.589,daily,organic,31.9,52.3,1
